body,url,video
Отличный велком Руфуса Дюбери в United и заодно большой микстейп от всей команды. Очень сильно!,,https://i.mycdn.me/getVideoPreview?id=6187419896484&idx=0&type=39&tkn=OkOXeAXkYcfauJWDVrFpFlV9Skc&fn=vid_f
Джордан Алеппо на высоком уровне закрывает споты по всему миру,,https://i.mycdn.me/getVideoPreview?id=6231666920068&idx=0&type=39&tkn=mSEuW-Tncu7Gm7KHD7Xzz5fxe4g&fn=vid_f
"25 апреля во многих городах страны (ищи свой на сайте Синема Парка) состоится премьера документального фильма ""Оставить след"" о путешествии [id128386|Паши Алехина], [id3722601|Пети Винокурова] и [id25340758|Жени Курникова] к вулканам Камчатки. 
 
А если вы из Москвы, у вас есть возможность не только насладиться фильмом, но и пообщаться с создателями (режиссер: [id1722003|Иваня Андрианов]) и одним из героев - [id128386|Пашей Вишневым] 25 апреля в 20:00 в кинотеатре Формула Кино на Кутузовском (ТЦ Океания). 

https://kinoteatr.ru/film/za-predelami-ostavit-sled/",,
Уральский стиль,,https://i.mycdn.me/getVideoPreview?id=6617079220753&idx=0&type=39&tkn=40v6t4KITQb7-EEl2Cwp2uvgf_g&fn=vid_f
MTB видео под хорошую музыку с отличной съемкой и на ходах - любовь!,,https://i.mycdn.me/getVideoPreview?id=6345933392474&idx=0&type=39&tkn=FRv2QFcXC9NjmvQ_hM573yrGmZs&fn=vid_f
Почти 10 минут стрита из Сеула от локалов и не очень,,https://i.mycdn.me/getVideoPreview?id=6554917145107&idx=0&type=39&tkn=LDppxhbicTBBsiHyf6aS5YBmhY8&fn=vid_f
Промо новых кед Vans от Льюисса Миллса,,https://i.mycdn.me/getVideoPreview?id=6302486235801&idx=0&type=39&tkn=XG0rs9TP3Hflll_aAPuUJzwcGhc&fn=vid_f
Тарик Хоуч уничтожает стены во славу Fit,,https://i.mycdn.me/getVideoPreview?id=6157131385472&idx=0&type=39&tkn=6dc4Wsipf2gw-idl4i_2o_wKTMY&fn=vid_f
"Трип в Барселону, который начинается с незнакомых трейлов? Так можно было?",,https://i.mycdn.me/getVideoPreview?id=6341919378121&idx=0&type=39&tkn=bTwzIOQdfUNg4WWU5JOXLXYvKtc&fn=vid_f
Тайлер Фернзел катается на Гавайях,,https://i.mycdn.me/getVideoPreview?id=6517558151757&idx=0&type=39&tkn=2zoJ36_pPhnZm0YxjOvH2sprQt8&fn=vid_f
